{'t': 1000, 'eps': 0.499902, 'loss': 1.5599035, 'buf_n': 1000, 'cum_reward': None}
{'t': 2000, 'eps': 0.499804, 'loss': 1.8274964, 'buf_n': 2000, 'cum_reward': None}
{'t': 3000, 'eps': 0.499706, 'loss': 2.1268032, 'buf_n': 3000, 'cum_reward': None}
{'t': 4000, 'eps': 0.499608, 'loss': 5.956932, 'buf_n': 4000, 'cum_reward': None}
{'t': 5000, 'eps': 0.49951, 'loss': 3.412015, 'buf_n': 5000, 'cum_reward': None}
{'t': 6000, 'eps': 0.499412, 'loss': 2.148912, 'buf_n': 6000, 'cum_reward': None}
{'t': 7000, 'eps': 0.499314, 'loss': 2.2967515, 'buf_n': 7000, 'cum_reward': None}
{'t': 8000, 'eps': 0.499216, 'loss': 3.9745932, 'buf_n': 8000, 'cum_reward': None}
{'t': 9000, 'eps': 0.499118, 'loss': 2.7883792, 'buf_n': 9000, 'cum_reward': None}
{'t': 10000, 'eps': 0.49902, 'loss': 2.9064703, 'buf_n': 10000, 'cum_reward': None}
{'t': 11000, 'eps': 0.498922, 'loss': 3.195698, 'buf_n': 11000, 'cum_reward': None}
{'t': 12000, 'eps': 0.498824, 'loss': 3.0333452, 'buf_n': 12000, 'cum_reward': None}
{'t': 13000, 'eps': 0.498726, 'loss': 2.6667423, 'buf_n': 13000, 'cum_reward': None}
{'t': 14000, 'eps': 0.498628, 'loss': 3.042934, 'buf_n': 14000, 'cum_reward': None}
{'t': 15000, 'eps': 0.49853, 'loss': 3.3201728, 'buf_n': 15000, 'cum_reward': None}
{'t': 16000, 'eps': 0.498432, 'loss': 1.8045573, 'buf_n': 16000, 'cum_reward': None}
{'t': 17000, 'eps': 0.498334, 'loss': 3.553477, 'buf_n': 17000, 'cum_reward': None}
{'t': 18000, 'eps': 0.498236, 'loss': 2.0775418, 'buf_n': 18000, 'cum_reward': None}
{'t': 19000, 'eps': 0.498138, 'loss': 2.349263, 'buf_n': 19000, 'cum_reward': None}
{'t': 20000, 'eps': 0.49804, 'loss': 9.406607, 'buf_n': 20000, 'cum_reward': None}
{'t': 21000, 'eps': 0.497942, 'loss': 3.060845, 'buf_n': 21000, 'cum_reward': None}
{'t': 22000, 'eps': 0.497844, 'loss': 1.3900738, 'buf_n': 22000, 'cum_reward': None}
{'t': 23000, 'eps': 0.497746, 'loss': 2.7543807, 'buf_n': 23000, 'cum_reward': None}
{'t': 24000, 'eps': 0.497648, 'loss': 2.5441613, 'buf_n': 24000, 'cum_reward': None}
{'t': 25000, 'eps': 0.49755, 'loss': 2.6008844, 'buf_n': 25000, 'cum_reward': None}
{'t': 26000, 'eps': 0.497452, 'loss': 2.3397968, 'buf_n': 26000, 'cum_reward': None}
{'t': 27000, 'eps': 0.497354, 'loss': 2.8609524, 'buf_n': 27000, 'cum_reward': None}
{'t': 28000, 'eps': 0.497256, 'loss': 3.9445868, 'buf_n': 28000, 'cum_reward': None}
{'t': 29000, 'eps': 0.497158, 'loss': 5.18423, 'buf_n': 29000, 'cum_reward': None}
{'t': 30000, 'eps': 0.49706, 'loss': 4.507902, 'buf_n': 30000, 'cum_reward': None}
{'t': 31000, 'eps': 0.496962, 'loss': 1.9766747, 'buf_n': 31000, 'cum_reward': None}
{'t': 32000, 'eps': 0.496864, 'loss': 3.7057962, 'buf_n': 32000, 'cum_reward': None}
{'t': 33000, 'eps': 0.496766, 'loss': 5.897893, 'buf_n': 33000, 'cum_reward': None}
{'t': 34000, 'eps': 0.496668, 'loss': 4.9169927, 'buf_n': 34000, 'cum_reward': None}
{'t': 35000, 'eps': 0.49657, 'loss': 2.7490323, 'buf_n': 35000, 'cum_reward': None}
{'t': 36000, 'eps': 0.496472, 'loss': 3.6764367, 'buf_n': 36000, 'cum_reward': None}
{'t': 37000, 'eps': 0.496374, 'loss': 1.4956628, 'buf_n': 37000, 'cum_reward': None}
{'t': 38000, 'eps': 0.496276, 'loss': 2.7684321, 'buf_n': 38000, 'cum_reward': None}
{'t': 39000, 'eps': 0.496178, 'loss': 2.7140913, 'buf_n': 39000, 'cum_reward': None}
{'t': 40000, 'eps': 0.49608, 'loss': 1.9838278, 'buf_n': 40000, 'cum_reward': None}
{'t': 41000, 'eps': 0.495982, 'loss': 5.8370743, 'buf_n': 41000, 'cum_reward': None}
{'t': 42000, 'eps': 0.495884, 'loss': 1.618205, 'buf_n': 42000, 'cum_reward': None}
{'t': 43000, 'eps': 0.495786, 'loss': 6.1456966, 'buf_n': 43000, 'cum_reward': None}
{'t': 44000, 'eps': 0.495688, 'loss': 5.504754, 'buf_n': 44000, 'cum_reward': None}
{'t': 45000, 'eps': 0.49559, 'loss': 3.8559723, 'buf_n': 45000, 'cum_reward': None}
{'t': 46000, 'eps': 0.495492, 'loss': 2.077465, 'buf_n': 46000, 'cum_reward': None}
{'t': 47000, 'eps': 0.495394, 'loss': 6.1067967, 'buf_n': 47000, 'cum_reward': None}
{'t': 48000, 'eps': 0.495296, 'loss': 7.140869, 'buf_n': 48000, 'cum_reward': None}
{'t': 49000, 'eps': 0.495198, 'loss': 5.4526296, 'buf_n': 49000, 'cum_reward': None}
{'t': 50000, 'eps': 0.4951, 'loss': 3.349647, 'buf_n': 50000, 'cum_reward': None}
{'t': 51000, 'eps': 0.495002, 'loss': 5.397826, 'buf_n': 51000, 'cum_reward': None}
{'t': 52000, 'eps': 0.494904, 'loss': 4.800729, 'buf_n': 52000, 'cum_reward': None}
{'t': 53000, 'eps': 0.494806, 'loss': 3.139685, 'buf_n': 53000, 'cum_reward': None}
{'t': 54000, 'eps': 0.494708, 'loss': 2.8425317, 'buf_n': 54000, 'cum_reward': None}
{'t': 55000, 'eps': 0.49461, 'loss': 6.721568, 'buf_n': 55000, 'cum_reward': None}
{'t': 56000, 'eps': 0.494512, 'loss': 6.143847, 'buf_n': 56000, 'cum_reward': None}
{'t': 57000, 'eps': 0.494414, 'loss': 4.153572, 'buf_n': 57000, 'cum_reward': None}
{'t': 58000, 'eps': 0.494316, 'loss': 10.145922, 'buf_n': 58000, 'cum_reward': None}
{'t': 59000, 'eps': 0.494218, 'loss': 6.867077, 'buf_n': 59000, 'cum_reward': None}
{'t': 60000, 'eps': 0.49412, 'loss': 2.850814, 'buf_n': 60000, 'cum_reward': None}
{'t': 61000, 'eps': 0.494022, 'loss': 5.022592, 'buf_n': 61000, 'cum_reward': None}
{'t': 62000, 'eps': 0.493924, 'loss': 3.8430958, 'buf_n': 62000, 'cum_reward': None}
